App,Translated_Review
App_181,Great tool for daily productivity!
App_173,Too many intrusive ads. Uninstalled immediately.
App_160,Worst update ever. It keeps crashing continuously.
App_164,Worst update ever. It keeps crashing continuously.
App_188,"Average features, works fine but nothing special."
App_191,Great tool for daily productivity!
App_256,"This app is absolutely amazing, loved the smooth UI!"
App_183,Great tool for daily productivity!
App_117,Great tool for daily productivity!
App_282,"This app is absolutely amazing, loved the smooth UI!"
App_196,"Average features, works fine but nothing special."
App_34,Great tool for daily productivity!
App_52,Worst update ever. It keeps crashing continuously.
App_112,"This app is absolutely amazing, loved the smooth UI!"
App_252,Too many intrusive ads. Uninstalled immediately.
App_82,"Average features, works fine but nothing special."
App_232,"This app is absolutely amazing, loved the smooth UI!"
App_227,Too many intrusive ads. Uninstalled immediately.
App_233,Too many intrusive ads. Uninstalled immediately.
App_221,Great tool for daily productivity!
App_42,Great tool for daily productivity!
App_21,Great tool for daily productivity!
App_42,"This app is absolutely amazing, loved the smooth UI!"
App_113,"This app is absolutely amazing, loved the smooth UI!"
App_105,"Average features, works fine but nothing special."
App_192,Great tool for daily productivity!
App_17,Too many intrusive ads. Uninstalled immediately.
App_120,Worst update ever. It keeps crashing continuously.
App_129,"Average features, works fine but nothing special."
App_130,"This app is absolutely amazing, loved the smooth UI!"
App_60,"Average features, works fine but nothing special."
App_48,"Average features, works fine but nothing special."
App_29,"Average features, works fine but nothing special."
App_97,"Average features, works fine but nothing special."
App_10,Worst update ever. It keeps crashing continuously.
App_242,Great tool for daily productivity!
App_232,Too many intrusive ads. Uninstalled immediately.
App_277,"Average features, works fine but nothing special."
App_284,"Average features, works fine but nothing special."
App_203,"Average features, works fine but nothing special."
App_247,Great tool for daily productivity!
App_290,"This app is absolutely amazing, loved the smooth UI!"
App_264,"This app is absolutely amazing, loved the smooth UI!"
App_214,Worst update ever. It keeps crashing continuously.
App_200,"This app is absolutely amazing, loved the smooth UI!"
App_79,"Average features, works fine but nothing special."
App_173,"Average features, works fine but nothing special."
App_69,"Average features, works fine but nothing special."
App_87,Worst update ever. It keeps crashing continuously.
App_101,"Average features, works fine but nothing special."
App_8,"This app is absolutely amazing, loved the smooth UI!"
App_200,Great tool for daily productivity!
App_87,Great tool for daily productivity!
App_43,Too many intrusive ads. Uninstalled immediately.
App_109,"This app is absolutely amazing, loved the smooth UI!"
App_152,"Average features, works fine but nothing special."
App_17,Great tool for daily productivity!
App_133,"This app is absolutely amazing, loved the smooth UI!"
App_148,Great tool for daily productivity!
App_277,"Average features, works fine but nothing special."
App_232,Great tool for daily productivity!
App_228,Too many intrusive ads. Uninstalled immediately.
App_139,Too many intrusive ads. Uninstalled immediately.
App_211,Great tool for daily productivity!
App_28,"This app is absolutely amazing, loved the smooth UI!"
App_51,"This app is absolutely amazing, loved the smooth UI!"
App_261,"This app is absolutely amazing, loved the smooth UI!"
App_261,Great tool for daily productivity!
App_8,"This app is absolutely amazing, loved the smooth UI!"
App_138,"Average features, works fine but nothing special."
App_38,Too many intrusive ads. Uninstalled immediately.
App_111,"Average features, works fine but nothing special."
App_220,"This app is absolutely amazing, loved the smooth UI!"
App_223,"Average features, works fine but nothing special."
App_136,"This app is absolutely amazing, loved the smooth UI!"
App_256,Great tool for daily productivity!
App_49,"Average features, works fine but nothing special."
App_292,Great tool for daily productivity!
App_78,Great tool for daily productivity!
App_105,Worst update ever. It keeps crashing continuously.
App_169,"This app is absolutely amazing, loved the smooth UI!"
App_217,Too many intrusive ads. Uninstalled immediately.
App_119,"This app is absolutely amazing, loved the smooth UI!"
App_190,Too many intrusive ads. Uninstalled immediately.
App_255,"This app is absolutely amazing, loved the smooth UI!"
App_266,Great tool for daily productivity!
App_149,"Average features, works fine but nothing special."
App_164,"Average features, works fine but nothing special."
App_140,Worst update ever. It keeps crashing continuously.
App_258,Too many intrusive ads. Uninstalled immediately.
App_269,Too many intrusive ads. Uninstalled immediately.
App_181,Too many intrusive ads. Uninstalled immediately.
App_160,Great tool for daily productivity!
App_288,Too many intrusive ads. Uninstalled immediately.
App_288,"Average features, works fine but nothing special."
App_226,Great tool for daily productivity!
App_11,"This app is absolutely amazing, loved the smooth UI!"
App_10,Too many intrusive ads. Uninstalled immediately.
App_271,Too many intrusive ads. Uninstalled immediately.
App_273,"This app is absolutely amazing, loved the smooth UI!"
App_183,Too many intrusive ads. Uninstalled immediately.
App_153,"This app is absolutely amazing, loved the smooth UI!"
App_124,Great tool for daily productivity!
App_114,"Average features, works fine but nothing special."
App_278,"This app is absolutely amazing, loved the smooth UI!"
App_213,Worst update ever. It keeps crashing continuously.
App_172,"This app is absolutely amazing, loved the smooth UI!"
App_288,Too many intrusive ads. Uninstalled immediately.
App_174,Great tool for daily productivity!
App_113,Great tool for daily productivity!
App_122,"This app is absolutely amazing, loved the smooth UI!"
App_32,"Average features, works fine but nothing special."
App_222,Worst update ever. It keeps crashing continuously.
App_119,Great tool for daily productivity!
App_39,Too many intrusive ads. Uninstalled immediately.
App_268,Too many intrusive ads. Uninstalled immediately.
App_233,"Average features, works fine but nothing special."
App_18,Great tool for daily productivity!
App_149,"This app is absolutely amazing, loved the smooth UI!"
App_149,Too many intrusive ads. Uninstalled immediately.
App_126,"Average features, works fine but nothing special."
App_238,Great tool for daily productivity!
App_135,Great tool for daily productivity!
App_151,Great tool for daily productivity!
App_236,Great tool for daily productivity!
App_224,Great tool for daily productivity!
App_203,Too many intrusive ads. Uninstalled immediately.
App_256,"Average features, works fine but nothing special."
App_86,Great tool for daily productivity!
App_150,Worst update ever. It keeps crashing continuously.
App_235,Worst update ever. It keeps crashing continuously.
App_22,"Average features, works fine but nothing special."
App_285,"This app is absolutely amazing, loved the smooth UI!"
App_269,"This app is absolutely amazing, loved the smooth UI!"
App_258,"This app is absolutely amazing, loved the smooth UI!"
App_29,Worst update ever. It keeps crashing continuously.
App_213,"This app is absolutely amazing, loved the smooth UI!"
App_283,Too many intrusive ads. Uninstalled immediately.
App_50,Great tool for daily productivity!
App_95,Worst update ever. It keeps crashing continuously.
App_88,"Average features, works fine but nothing special."
App_44,"Average features, works fine but nothing special."
App_278,Great tool for daily productivity!
App_171,Worst update ever. It keeps crashing continuously.
App_189,"This app is absolutely amazing, loved the smooth UI!"
App_184,"This app is absolutely amazing, loved the smooth UI!"
App_3,Too many intrusive ads. Uninstalled immediately.
App_191,Too many intrusive ads. Uninstalled immediately.
App_118,"This app is absolutely amazing, loved the smooth UI!"
App_19,"Average features, works fine but nothing special."
App_23,"Average features, works fine but nothing special."
App_30,Too many intrusive ads. Uninstalled immediately.
App_295,Great tool for daily productivity!
App_108,"This app is absolutely amazing, loved the smooth UI!"
App_281,Too many intrusive ads. Uninstalled immediately.
App_128,Too many intrusive ads. Uninstalled immediately.
App_229,"This app is absolutely amazing, loved the smooth UI!"
App_111,"This app is absolutely amazing, loved the smooth UI!"
App_136,"Average features, works fine but nothing special."
App_186,Great tool for daily productivity!
App_144,Great tool for daily productivity!
App_72,"This app is absolutely amazing, loved the smooth UI!"
App_129,Worst update ever. It keeps crashing continuously.
App_261,Too many intrusive ads. Uninstalled immediately.
App_3,Too many intrusive ads. Uninstalled immediately.
App_104,"This app is absolutely amazing, loved the smooth UI!"
App_224,Worst update ever. It keeps crashing continuously.
App_10,"Average features, works fine but nothing special."
App_231,"This app is absolutely amazing, loved the smooth UI!"
App_219,"This app is absolutely amazing, loved the smooth UI!"
App_66,Too many intrusive ads. Uninstalled immediately.
App_112,"This app is absolutely amazing, loved the smooth UI!"
App_13,"This app is absolutely amazing, loved the smooth UI!"
App_86,"This app is absolutely amazing, loved the smooth UI!"
App_234,Too many intrusive ads. Uninstalled immediately.
App_90,"Average features, works fine but nothing special."
App_54,"Average features, works fine but nothing special."
App_12,"This app is absolutely amazing, loved the smooth UI!"
App_209,Too many intrusive ads. Uninstalled immediately.
App_14,"Average features, works fine but nothing special."
App_121,"Average features, works fine but nothing special."
App_20,"Average features, works fine but nothing special."
App_75,Too many intrusive ads. Uninstalled immediately.
App_243,Too many intrusive ads. Uninstalled immediately.
App_223,"This app is absolutely amazing, loved the smooth UI!"
App_70,Great tool for daily productivity!
App_211,"Average features, works fine but nothing special."
App_101,Great tool for daily productivity!
App_186,Too many intrusive ads. Uninstalled immediately.
App_132,Too many intrusive ads. Uninstalled immediately.
App_111,Too many intrusive ads. Uninstalled immediately.
App_132,Great tool for daily productivity!
App_20,Too many intrusive ads. Uninstalled immediately.
App_24,"This app is absolutely amazing, loved the smooth UI!"
App_227,Too many intrusive ads. Uninstalled immediately.
App_154,Worst update ever. It keeps crashing continuously.
App_293,Great tool for daily productivity!
App_230,Worst update ever. It keeps crashing continuously.
App_202,Too many intrusive ads. Uninstalled immediately.
App_38,"This app is absolutely amazing, loved the smooth UI!"
App_260,"Average features, works fine but nothing special."
App_188,Too many intrusive ads. Uninstalled immediately.
App_57,"This app is absolutely amazing, loved the smooth UI!"
App_20,Great tool for daily productivity!
App_273,Worst update ever. It keeps crashing continuously.
App_119,Worst update ever. It keeps crashing continuously.
App_71,Worst update ever. It keeps crashing continuously.
App_4,Great tool for daily productivity!
App_221,"This app is absolutely amazing, loved the smooth UI!"
App_14,Great tool for daily productivity!
App_3,Worst update ever. It keeps crashing continuously.
App_216,Too many intrusive ads. Uninstalled immediately.
App_229,"Average features, works fine but nothing special."
App_186,Great tool for daily productivity!
App_55,Great tool for daily productivity!
App_254,"This app is absolutely amazing, loved the smooth UI!"
App_24,"This app is absolutely amazing, loved the smooth UI!"
App_162,Great tool for daily productivity!
App_158,Worst update ever. It keeps crashing continuously.
App_82,"Average features, works fine but nothing special."
App_159,"This app is absolutely amazing, loved the smooth UI!"
App_188,Worst update ever. It keeps crashing continuously.
App_60,Too many intrusive ads. Uninstalled immediately.
App_211,"This app is absolutely amazing, loved the smooth UI!"
App_152,Worst update ever. It keeps crashing continuously.
App_109,Worst update ever. It keeps crashing continuously.
App_76,"Average features, works fine but nothing special."
App_30,"Average features, works fine but nothing special."
App_117,Too many intrusive ads. Uninstalled immediately.
App_192,Worst update ever. It keeps crashing continuously.
App_19,Worst update ever. It keeps crashing continuously.
App_173,"Average features, works fine but nothing special."
App_228,"This app is absolutely amazing, loved the smooth UI!"
App_183,"This app is absolutely amazing, loved the smooth UI!"
App_113,Great tool for daily productivity!
App_183,"Average features, works fine but nothing special."
App_146,Great tool for daily productivity!
App_116,"Average features, works fine but nothing special."
App_113,Too many intrusive ads. Uninstalled immediately.
App_251,Worst update ever. It keeps crashing continuously.
App_251,Too many intrusive ads. Uninstalled immediately.
App_118,"Average features, works fine but nothing special."
App_161,Worst update ever. It keeps crashing continuously.
App_198,"This app is absolutely amazing, loved the smooth UI!"
App_260,"This app is absolutely amazing, loved the smooth UI!"
App_148,Great tool for daily productivity!
App_240,"Average features, works fine but nothing special."
App_47,"Average features, works fine but nothing special."
App_198,"This app is absolutely amazing, loved the smooth UI!"
App_47,Too many intrusive ads. Uninstalled immediately.
App_78,Worst update ever. It keeps crashing continuously.
App_124,Too many intrusive ads. Uninstalled immediately.
App_75,Too many intrusive ads. Uninstalled immediately.
App_137,"This app is absolutely amazing, loved the smooth UI!"
App_90,"This app is absolutely amazing, loved the smooth UI!"
App_61,"This app is absolutely amazing, loved the smooth UI!"
App_138,Great tool for daily productivity!
App_50,Too many intrusive ads. Uninstalled immediately.
App_259,"Average features, works fine but nothing special."
App_107,Worst update ever. It keeps crashing continuously.
App_113,Great tool for daily productivity!
App_254,"Average features, works fine but nothing special."
App_118,Too many intrusive ads. Uninstalled immediately.
App_198,"This app is absolutely amazing, loved the smooth UI!"
App_51,Too many intrusive ads. Uninstalled immediately.
App_245,Worst update ever. It keeps crashing continuously.
App_35,Great tool for daily productivity!
App_69,Great tool for daily productivity!
App_49,Worst update ever. It keeps crashing continuously.
App_74,"Average features, works fine but nothing special."
App_192,"Average features, works fine but nothing special."
App_261,Great tool for daily productivity!
App_70,Great tool for daily productivity!
App_90,"This app is absolutely amazing, loved the smooth UI!"
App_260,"Average features, works fine but nothing special."
App_126,Worst update ever. It keeps crashing continuously.
App_231,"Average features, works fine but nothing special."
App_295,"This app is absolutely amazing, loved the smooth UI!"
App_129,Great tool for daily productivity!
App_280,Great tool for daily productivity!
App_100,"This app is absolutely amazing, loved the smooth UI!"
App_297,Worst update ever. It keeps crashing continuously.
App_182,Great tool for daily productivity!
App_174,Too many intrusive ads. Uninstalled immediately.
App_188,Great tool for daily productivity!
App_57,Too many intrusive ads. Uninstalled immediately.
App_31,"This app is absolutely amazing, loved the smooth UI!"
App_84,"This app is absolutely amazing, loved the smooth UI!"
App_152,Great tool for daily productivity!
App_36,"Average features, works fine but nothing special."
App_213,Too many intrusive ads. Uninstalled immediately.
App_106,Worst update ever. It keeps crashing continuously.
App_220,Great tool for daily productivity!
App_163,Worst update ever. It keeps crashing continuously.
App_220,Great tool for daily productivity!
App_270,"Average features, works fine but nothing special."
App_120,"Average features, works fine but nothing special."
App_182,"Average features, works fine but nothing special."
App_106,"Average features, works fine but nothing special."
App_217,"This app is absolutely amazing, loved the smooth UI!"
App_205,"This app is absolutely amazing, loved the smooth UI!"
App_70,Too many intrusive ads. Uninstalled immediately.
App_44,Worst update ever. It keeps crashing continuously.
App_228,Great tool for daily productivity!
App_184,Great tool for daily productivity!
App_107,"This app is absolutely amazing, loved the smooth UI!"
App_84,Great tool for daily productivity!
App_250,"This app is absolutely amazing, loved the smooth UI!"
App_21,Too many intrusive ads. Uninstalled immediately.
App_196,Worst update ever. It keeps crashing continuously.
App_178,Too many intrusive ads. Uninstalled immediately.
App_7,"Average features, works fine but nothing special."
App_70,"Average features, works fine but nothing special."
App_127,"Average features, works fine but nothing special."
App_160,Too many intrusive ads. Uninstalled immediately.
App_248,Great tool for daily productivity!
App_203,Worst update ever. It keeps crashing continuously.
App_148,"Average features, works fine but nothing special."
App_143,"Average features, works fine but nothing special."
App_199,"Average features, works fine but nothing special."
App_154,Worst update ever. It keeps crashing continuously.
App_142,"Average features, works fine but nothing special."
App_165,Worst update ever. It keeps crashing continuously.
App_21,"Average features, works fine but nothing special."
App_82,Too many intrusive ads. Uninstalled immediately.
App_69,Too many intrusive ads. Uninstalled immediately.
App_131,Worst update ever. It keeps crashing continuously.
App_87,Too many intrusive ads. Uninstalled immediately.
App_218,Worst update ever. It keeps crashing continuously.
App_161,Too many intrusive ads. Uninstalled immediately.
App_178,Too many intrusive ads. Uninstalled immediately.
App_117,Worst update ever. It keeps crashing continuously.
App_196,Great tool for daily productivity!
App_86,Too many intrusive ads. Uninstalled immediately.
App_289,"Average features, works fine but nothing special."
App_81,Great tool for daily productivity!
App_152,Worst update ever. It keeps crashing continuously.
App_61,Great tool for daily productivity!
App_61,"This app is absolutely amazing, loved the smooth UI!"
App_28,"This app is absolutely amazing, loved the smooth UI!"
App_43,Too many intrusive ads. Uninstalled immediately.
App_169,Too many intrusive ads. Uninstalled immediately.
App_86,"Average features, works fine but nothing special."
App_177,Great tool for daily productivity!
App_17,"This app is absolutely amazing, loved the smooth UI!"
App_98,Too many intrusive ads. Uninstalled immediately.
App_198,Great tool for daily productivity!
App_98,Too many intrusive ads. Uninstalled immediately.
App_65,Too many intrusive ads. Uninstalled immediately.
App_5,"This app is absolutely amazing, loved the smooth UI!"
App_2,"This app is absolutely amazing, loved the smooth UI!"
App_22,Too many intrusive ads. Uninstalled immediately.
App_112,Worst update ever. It keeps crashing continuously.
App_57,Too many intrusive ads. Uninstalled immediately.
App_66,Too many intrusive ads. Uninstalled immediately.
App_98,"Average features, works fine but nothing special."
App_144,"Average features, works fine but nothing special."
App_125,"Average features, works fine but nothing special."
App_167,Worst update ever. It keeps crashing continuously.
App_86,Worst update ever. It keeps crashing continuously.
App_76,Too many intrusive ads. Uninstalled immediately.
App_294,"Average features, works fine but nothing special."
App_59,Worst update ever. It keeps crashing continuously.
App_138,"This app is absolutely amazing, loved the smooth UI!"
App_99,Too many intrusive ads. Uninstalled immediately.
App_192,Great tool for daily productivity!
App_243,Too many intrusive ads. Uninstalled immediately.
App_49,Great tool for daily productivity!
App_32,"Average features, works fine but nothing special."
App_277,Great tool for daily productivity!
App_20,"Average features, works fine but nothing special."
App_154,"This app is absolutely amazing, loved the smooth UI!"
App_68,Great tool for daily productivity!
App_214,Too many intrusive ads. Uninstalled immediately.
App_143,"Average features, works fine but nothing special."
App_232,Too many intrusive ads. Uninstalled immediately.
App_213,Worst update ever. It keeps crashing continuously.
App_79,"Average features, works fine but nothing special."
App_214,Great tool for daily productivity!
App_116,"Average features, works fine but nothing special."
App_92,Too many intrusive ads. Uninstalled immediately.
App_270,"This app is absolutely amazing, loved the smooth UI!"
App_168,"Average features, works fine but nothing special."
App_58,Great tool for daily productivity!
App_284,Worst update ever. It keeps crashing continuously.
App_26,"This app is absolutely amazing, loved the smooth UI!"
App_66,Worst update ever. It keeps crashing continuously.
App_248,"Average features, works fine but nothing special."
App_254,Too many intrusive ads. Uninstalled immediately.
App_44,Too many intrusive ads. Uninstalled immediately.
App_97,Great tool for daily productivity!
App_42,Too many intrusive ads. Uninstalled immediately.
App_227,"This app is absolutely amazing, loved the smooth UI!"
App_262,Too many intrusive ads. Uninstalled immediately.
